site	lon	lat
128520.0	-80.08333333333333	44.916666666666664
128521.0	-80.08333333333333	45.083333333333336
128522.0	-80.08333333333333	45.25
128523.0	-80.08333333333333	45.416666666666664
128524.0	-80.08333333333333	45.583333333333336
128525.0	-80.08333333333333	45.75
128526.0	-80.08333333333333	45.916666666666664
128527.0	-80.08333333333333	46.083333333333336
128528.0	-80.08333333333333	46.25
128529.0	-80.08333333333333	46.416666666666664
128530.0	-80.08333333333333	46.583333333333336
128531.0	-80.08333333333333	46.75
128532.0	-80.08333333333333	46.916666666666664
128533.0	-80.08333333333333	47.083333333333336
128534.0	-80.08333333333333	47.25
128535.0	-80.08333333333333	47.416666666666664
128536.0	-80.08333333333333	47.583333333333336
128537.0	-80.08333333333333	47.75
128538.0	-80.08333333333333	47.916666666666664
128539.0	-80.08333333333333	48.083333333333336
128540.0	-80.08333333333333	48.25
128541.0	-80.08333333333333	48.416666666666664
128542.0	-80.08333333333333	48.583333333333336
128543.0	-80.08333333333333	48.75
128544.0	-80.08333333333333	48.916666666666664
128545.0	-80.08333333333333	49.083333333333336
128546.0	-80.08333333333333	49.25
128547.0	-80.08333333333333	49.416666666666664
128548.0	-80.08333333333333	49.583333333333336
128549.0	-80.08333333333333	49.75
128550.0	-80.08333333333333	49.916666666666664
128551.0	-80.08333333333333	50.083333333333336
128552.0	-80.08333333333333	50.25
128553.0	-80.08333333333333	50.416666666666664
128554.0	-80.08333333333333	50.583333333333336
128555.0	-80.08333333333333	50.75
128556.0	-80.08333333333333	50.916666666666664
128557.0	-80.08333333333333	51.083333333333336
128558.0	-80.08333333333333	51.25
128559.0	-80.08333333333333	51.416666666666664
128560.0	-80.08333333333333	51.583333333333336
128561.0	-80.08333333333333	51.75
128562.0	-80.08333333333333	51.916666666666664
128563.0	-80.08333333333333	52.083333333333336
128564.0	-80.08333333333333	52.25
128565.0	-80.08333333333333	52.416666666666664
128566.0	-80.08333333333333	52.583333333333336
128567.0	-80.08333333333333	52.75
128568.0	-80.08333333333333	52.916666666666664
128569.0	-80.08333333333333	53.083333333333336
128570.0	-80.08333333333333	53.25
128571.0	-80.08333333333333	53.416666666666664
128572.0	-80.08333333333333	53.583333333333336
128573.0	-80.08333333333333	53.75
128574.0	-80.08333333333333	53.916666666666664
128575.0	-80.08333333333333	54.083333333333336
128576.0	-80.08333333333333	54.25
128577.0	-80.08333333333333	54.416666666666664
128578.0	-80.08333333333333	54.583333333333336
128579.0	-80.08333333333333	54.75
128580.0	-80.08333333333333	54.916666666666664
128581.0	-80.08333333333333	55.083333333333336
128582.0	-80.08333333333333	55.25
128583.0	-80.08333333333333	55.416666666666664
128584.0	-80.08333333333333	55.583333333333336
128585.0	-80.08333333333333	55.75
128586.0	-80.08333333333333	55.916666666666664
128587.0	-80.08333333333333	56.083333333333336
128588.0	-80.08333333333333	56.25
128589.0	-80.08333333333333	56.416666666666664
128590.0	-80.08333333333333	56.583333333333336
128591.0	-80.08333333333333	56.75
128592.0	-80.08333333333333	56.916666666666664
128593.0	-80.08333333333333	57.083333333333336
128594.0	-80.08333333333333	57.25
128595.0	-80.08333333333333	57.416666666666664
128596.0	-80.08333333333333	57.583333333333336
128597.0	-80.08333333333333	57.75
128598.0	-80.08333333333333	57.916666666666664
128599.0	-80.08333333333333	58.083333333333336
128600.0	-80.08333333333333	58.25
128601.0	-80.08333333333333	58.416666666666664
128602.0	-80.08333333333333	58.583333333333336
128603.0	-80.08333333333333	58.75
128604.0	-80.08333333333333	58.916666666666664
128605.0	-80.08333333333333	59.083333333333336
128606.0	-80.08333333333333	59.25
128607.0	-80.08333333333333	59.416666666666664
128608.0	-80.08333333333333	59.583333333333336
128609.0	-80.08333333333333	59.75
128610.0	-80.08333333333333	59.916666666666664
128611.0	-80.08333333333333	60.083333333333336
128612.0	-80.08333333333333	60.25
128613.0	-80.08333333333333	60.416666666666664
128614.0	-80.08333333333333	60.583333333333336
128615.0	-80.08333333333333	60.75
128616.0	-80.08333333333333	60.916666666666664
128617.0	-80.08333333333333	61.083333333333336
128618.0	-80.08333333333333	61.25
128619.0	-80.08333333333333	61.416666666666664
128620.0	-80.08333333333333	61.583333333333336
128621.0	-80.08333333333333	61.75
128622.0	-80.08333333333333	61.916666666666664
128623.0	-80.08333333333333	62.083333333333336
128624.0	-80.08333333333333	62.25
128625.0	-80.08333333333333	62.416666666666664
128626.0	-80.08333333333333	62.583333333333336
128627.0	-80.08333333333333	62.75
128628.0	-80.08333333333333	62.916666666666664
128850.0	-79.91666666666667	44.916666666666664
128851.0	-79.91666666666667	45.083333333333336
128852.0	-79.91666666666667	45.25
128853.0	-79.91666666666667	45.416666666666664
128854.0	-79.91666666666667	45.583333333333336
128855.0	-79.91666666666667	45.75
128856.0	-79.91666666666667	45.916666666666664
128857.0	-79.91666666666667	46.083333333333336
128858.0	-79.91666666666667	46.25
128859.0	-79.91666666666667	46.416666666666664
128860.0	-79.91666666666667	46.583333333333336
128861.0	-79.91666666666667	46.75
128862.0	-79.91666666666667	46.916666666666664
128863.0	-79.91666666666667	47.083333333333336
128864.0	-79.91666666666667	47.25
128865.0	-79.91666666666667	47.416666666666664
128866.0	-79.91666666666667	47.583333333333336
128867.0	-79.91666666666667	47.75
128868.0	-79.91666666666667	47.916666666666664
128869.0	-79.91666666666667	48.083333333333336
128870.0	-79.91666666666667	48.25
128871.0	-79.91666666666667	48.416666666666664
128872.0	-79.91666666666667	48.583333333333336
128873.0	-79.91666666666667	48.75
128874.0	-79.91666666666667	48.916666666666664
